model,recall,precision
VGG16,0.9076923076923077,0.9267015706806283
VGG16,0.9051282051282051,0.926509186351706
VGG16,0.9025641025641026,0.9263157894736842
VGG16,0.9,0.9261213720316622
VGG16,0.9,0.9285714285714286
VGG16,0.8974358974358975,0.9283819628647215
VGG16,0.8948717948717949,0.9281914893617021
VGG16,0.8923076923076924,0.928
VGG16,0.8923076923076924,0.93048128342246
VGG16,0.8897435897435897,0.9302949061662198
VGG16,0.8871794871794871,0.9301075268817204
VGG16,0.8846153846153846,0.9299191374663073
VGG16,0.882051282051282,0.9297297297297298
VGG16,0.882051282051282,0.9322493224932249
VGG16,0.882051282051282,0.9347826086956522
VGG16,0.882051282051282,0.9373297002724795
VGG16,0.8794871794871795,0.9371584699453552
VGG16,0.8769230769230769,0.936986301369863
VGG16,0.8743589743589744,0.9368131868131868
VGG16,0.8717948717948718,0.9366391184573003
VGG16,0.8692307692307693,0.93646408839779
VGG16,0.8666666666666667,0.9362880886426593
VGG16,0.8641025641025641,0.9361111111111111
VGG16,0.8615384615384616,0.935933147632312
VGG16,0.8589743589743589,0.9357541899441341
VGG16,0.8564102564102564,0.9355742296918768
VGG16,0.8538461538461538,0.9353932584269663
VGG16,0.8512820512820513,0.9352112676056338
VGG16,0.8487179487179487,0.9350282485875706
VGG16,0.8487179487179487,0.9376770538243626
VGG16,0.8461538461538461,0.9375
VGG16,0.8435897435897436,0.9373219373219374
VGG16,0.8435897435897436,0.94
VGG16,0.841025641025641,0.9398280802292264
VGG16,0.8384615384615385,0.9396551724137931
VGG16,0.8358974358974359,0.9394812680115274
VGG16,0.8333333333333334,0.9393063583815029
VGG16,0.8307692307692308,0.9391304347826087
VGG16,0.8282051282051283,0.938953488372093
VGG16,0.8256410256410256,0.9387755102040817
VGG16,0.823076923076923,0.9385964912280702
VGG16,0.8205128205128205,0.9384164222873901
VGG16,0.8179487179487179,0.9382352941176471
VGG16,0.8153846153846154,0.9380530973451328
VGG16,0.8128205128205128,0.9378698224852071
VGG16,0.8102564102564103,0.9376854599406528
VGG16,0.8076923076923077,0.9375
VGG16,0.8051282051282052,0.9373134328358209
VGG16,0.8051282051282052,0.9401197604790419
VGG16,0.8025641025641026,0.93993993993994
