model,fpr,tpr
ResNet50,0.3717948717948718,0.9615384615384616
ResNet50,0.3717948717948718,0.9641025641025641
ResNet50,0.37606837606837606,0.9641025641025641
ResNet50,0.37606837606837606,0.9666666666666667
ResNet50,0.38461538461538464,0.9666666666666667
ResNet50,0.38461538461538464,0.9692307692307692
ResNet50,0.4188034188034188,0.9692307692307692
ResNet50,0.4188034188034188,0.9717948717948718
ResNet50,0.42735042735042733,0.9717948717948718
ResNet50,0.42735042735042733,0.9743589743589743
ResNet50,0.44017094017094016,0.9743589743589743
ResNet50,0.44871794871794873,0.9743589743589743
ResNet50,0.44871794871794873,0.9769230769230769
ResNet50,0.48717948717948717,0.9769230769230769
ResNet50,0.48717948717948717,0.9794871794871794
ResNet50,0.49572649572649574,0.9794871794871794
ResNet50,0.49572649572649574,0.982051282051282
ResNet50,0.5384615384615384,0.982051282051282
ResNet50,0.5470085470085471,0.982051282051282
ResNet50,0.6025641025641025,0.982051282051282
ResNet50,0.6025641025641025,0.9846153846153847
ResNet50,0.6068376068376068,0.9846153846153847
ResNet50,0.6068376068376068,0.9871794871794872
ResNet50,0.6837606837606838,0.9871794871794872
ResNet50,0.6837606837606838,0.9897435897435898
ResNet50,0.688034188034188,0.9897435897435898
ResNet50,0.688034188034188,0.9923076923076923
ResNet50,0.6965811965811965,0.9923076923076923
ResNet50,0.6965811965811965,0.9948717948717949
ResNet50,0.7564102564102564,0.9948717948717949
ResNet50,0.7564102564102564,0.9974358974358974
ResNet50,0.8717948717948718,0.9974358974358974
ResNet50,0.8717948717948718,1.0
ResNet50,1.0,1.0
